,영업일,인덱스,상승예측확률,실제수익률
0,541~560일 차,S&P500,0.9997,0.014797870287329484
0,561~580일 차,KOSPI,1.0,-0.12064388997363606
0,561~580일 차,KOSDAQ,0.1238,-0.09342703596527491
0,561~580일 차,NASDAQ,0.9502,0.05583793562956285
0,561~580일 차,HSI,0.264,-0.1126278688605209
0,561~580일 차,S&P500,0.3181,0.03230435899440498
0,581~600일 차,KOSPI,0.9975,-0.07517959625958182
0,581~600일 차,KOSDAQ,0.9997,-0.0802909298345692
0,581~600일 차,NASDAQ,0.0,0.04488479390466682
0,581~600일 차,HSI,0.9999,0.04664137340275376
0,581~600일 차,S&P500,0.0,0.018211920529801473
0,601~620일 차,KOSPI,0.9884,-0.045377698810100786
0,601~620일 차,KOSDAQ,0.8671,-0.05054179971732198
0,601~620일 차,NASDAQ,0.6321,0.05280666414443491
0,601~620일 차,HSI,0.1353,-0.06811657929577075
0,601~620일 차,S&P500,0.8647,0.048918898331828053
0,621~640일 차,KOSPI,0.9936,0.07930443798318576
0,621~640일 차,KOSDAQ,0.9842,0.1808011548177555
0,621~640일 차,NASDAQ,0.0,-0.003199181424024533
0,621~640일 차,HSI,0.3676,-0.03319616054848307
0,621~640일 차,S&P500,0.0,0.018879393386803445
0,641~660일 차,KOSPI,0.3538,-0.1557078739906841
0,641~660일 차,KOSDAQ,0.0,-0.21081248658574392
0,641~660일 차,NASDAQ,0.0315,0.015648153827776623
0,641~660일 차,HSI,0.3679,-0.11797210395995483
0,641~660일 차,S&P500,0.0357,0.02084351985805233
0,661~680일 차,KOSPI,1.0,-0.08651097769512062
0,661~680일 차,KOSDAQ,1.0,-0.16129707112970715
0,661~680일 차,NASDAQ,0.9999,-0.048450090282141756
0,661~680일 차,HSI,1.0,0.11273289740421366
0,661~680일 차,S&P500,0.2341,-0.04831872714188534
0,681~700일 차,KOSPI,0.0167,-0.042133996378476035
0,681~700일 차,KOSDAQ,0.0482,-0.12232551780709522
0,681~700일 차,NASDAQ,0.9999,-0.0739013566925536
0,681~700일 차,HSI,0.0,0.02582254352679403
0,681~700일 차,S&P500,0.9999,-0.045091395175329674
