Date,Close,Open,High,Low,Volume,Change
2014-04-03,32.14,32.14,32.14,32.14,47360,0.0044
2014-04-08,31.75,31.75,31.75,31.75,200,-0.0121
2014-04-14,31.25,31.25,31.25,31.25,250,-0.0157
2014-04-17,31.68,31.68,31.68,31.68,2220,0.0138
2016-03-31,30.15,30.15,30.15,30.15,0,-0.0483
2016-04-12,29.52,29.52,29.52,29.52,0,-0.0209
2016-04-18,30.66,30.66,30.66,30.66,0,0.0386
2016-04-19,30.98,30.98,30.98,30.98,0,0.0104
2016-04-22,31.54,31.54,31.54,31.54,0,0.0181
2016-04-27,31.48,31.48,31.48,31.48,0,-0.0019
2016-05-06,29.64,29.64,29.64,29.64,0,-0.0584
2016-05-18,29.93,29.91,29.93,29.91,0,0.0098
2016-05-23,30.33,30.33,30.33,30.33,0,0.0134
2016-05-24,30.3,29.95,30.3,29.95,0,-0.001
2016-05-26,31.48,31.48,31.48,31.48,0,0.0389
2016-06-03,31.29,31.29,31.29,31.29,0,-0.006
2016-06-06,30.85,30.85,30.85,30.85,0,-0.0141
2016-06-08,31.07,31.07,31.07,31.07,0,0.0071
2016-06-09,30.8,30.83,30.83,30.8,0,-0.0087
2016-06-10,30.37,30.37,30.37,30.37,0,-0.014
2016-06-13,29.33,29.52,29.52,29.33,0,-0.0342
2016-06-14,28.92,28.92,28.92,28.92,0,-0.014
2016-06-15,28.76,28.76,28.76,28.76,0,-0.0055
2016-06-20,30,30,30,30,0,0.0431
2016-06-21,30.36,30.36,30.36,30.36,0,0.012
2016-06-24,28.59,28.59,28.59,28.59,0,-0.0583
2016-06-28,28.21,28.21,28.21,28.21,0,-0.0133
2016-06-29,28.9,28.91,28.91,28.9,0,0.0245
2016-07-01,29.31,29.31,29.31,29.31,0,0.0142
2016-07-06,28.18,28.18,28.18,28.18,0,-0.0386
2016-07-12,29.91,29.91,29.91,29.91,0,0.0614
2016-07-13,30,30,30,30,0,0.003
2016-07-14,30.29,30.3,30.3,30.29,0,0.0097
2016-07-15,30.14,30.14,30.14,30.14,0,-0.005
2016-07-21,30.26,30.26,30.26,30.26,0,0.004
2016-07-27,30.59,30.59,30.59,30.59,0,0.0109
2016-08-02,29.87,29.87,29.87,29.87,0,-0.0235
2016-08-03,29.68,29.68,29.68,29.68,0,-0.0064
2016-08-05,29.94,29.94,29.94,29.94,0,0.0088
2016-08-10,30.86,30.86,30.86,30.86,0,0.0307
2016-08-18,30.56,30.56,30.56,30.56,0,-0.0097
2016-08-26,30.58,30.58,30.58,30.58,0,0.0007
2016-09-01,31.16,31.16,31.16,31.16,0,0.019
2016-09-05,31.59,31.59,31.59,31.59,0,0.0138
2016-09-09,31.49,31.49,31.49,29.86,0,-0.0032
2016-09-12,30.71,30.71,30.71,30.71,0,-0.0248
2016-09-13,30.53,30.84,30.84,30.53,0,-0.0059
2016-09-14,30.52,30.52,30.52,30.52,0,-0.0003
