Date,Close,Open,High,Low,Volume,Change
1996-09-10,1149.43,1149.16,1150.85,1144.37,0.0,0.0006
1996-09-11,1153.95,1145.77,1154.39,1143.9,0.0,0.0039000000000000003
1996-09-12,1165.81,1156.28,1166.79,1151.66,0.0,0.0103
1996-09-13,1188.67,1175.85,1188.68,1175.85,0.0,0.0196
1996-09-16,1193.96,1190.04,1199.68,1188.07,0.0,0.0045000000000000005
1996-09-17,1203.31,1204.04,1205.28,1187.5,0.0,0.0078000000000000005
1996-09-18,1205.71,1201.18,1211.39,1196.76,0.0,0.002
1996-09-19,1212.09,1204.67,1213.13,1203.36,0.0,0.0053
1996-09-20,1219.69,1213.8,1221.27,1210.19,0.0,0.0063
1996-09-23,1211.47,1216.69,1219.7,1207.68,0.0,-0.0067
1996-09-24,1215.27,1210.96,1220.51,1210.06,0.0,0.0031
1996-09-25,1224.66,1215.27,1224.91,1215.27,0.0,0.0077
1996-09-26,1227.98,1228.29,1237.26,1222.72,0.0,0.0027
1996-09-27,1230.05,1229.69,1231.58,1226.59,0.0,0.0017000000000000001
1996-09-30,1226.92,1229.14,1233.96,1226.09,0.0,-0.0025
1996-10-01,1221.51,1223.73,1227.44,1214.6,0.0,-0.0044
1996-10-02,1236.11,1224.01,1236.13,1221.51,0.0,0.012
1996-10-03,1233.09,1237.25,1239.12,1232.95,0.0,-0.0024
1996-10-04,1247.56,1240.12,1247.59,1233.05,0.0,0.011699999999999999
1996-10-07,1250.87,1247.14,1252.59,1246.9,0.0,0.0027
1996-10-08,1240.15,1253.41,1256.72,1239.85,0.0,-0.0086
1996-10-09,1237.98,1247.55,1249.57,1235.47,0.0,-0.0017000000000000001
1996-10-10,1236.97,1235.13,1243.14,1232.64,0.0,-0.0008
1996-10-11,1248.27,1241.97,1248.5,1236.63,0.0,0.0091
1996-10-14,1256.36,1250.67,1256.81,1248.26,0.0,0.006500000000000001
1996-10-15,1258.1,1267.56,1269.62,1252.54,0.0,0.0014000000000000002
1996-10-16,1250.99,1256.73,1258.14,1244.94,0.0,-0.005699999999999999
1996-10-17,1241.96,1253.58,1255.66,1241.96,0.0,-0.0072
1996-10-18,1242.48,1242.92,1243.39,1238.24,0.0,0.0004
1996-10-21,1236.41,1241.95,1253.32,1233.85,0.0,-0.0049
1996-10-22,1220.0,1233.17,1236.41,1215.48,0.0,-0.013300000000000001
1996-10-23,1227.88,1219.02,1228.33,1215.08,0.0,0.006500000000000001
1996-10-24,1227.0,1230.92,1235.67,1226.61,0.0,-0.0007000000000000001
1996-10-25,1222.6,1227.13,1230.37,1222.38,0.0,-0.0036
1996-10-28,1215.89,1225.39,1229.63,1215.72,0.0,-0.0055000000000000005
